Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,-3.115,14.56,90.0,top
C2,100n,C_0402_1005Metric,-16.21,11.33,180.0,top
C3,100n,C_0402_1005Metric,-11.315,8.07,180.0,top
C4,100n,C_0402_1005Metric,-15.86,12.82,180.0,top
C5,100n,C_0402_1005Metric,-3.105,13.12,0.0,top
C6,100n,C_0402_1005Metric,-12.08,17.73,180.0,top
C7,100n,C_0402_1005Metric,-8.205,17.71,180.0,top
C8,100n,C_0402_1005Metric,-6.455,7.96,-90.0,top
C9,1u,C_0402_1005Metric,-2.515,9.85,-90.0,top
C10,1u,C_0402_1005Metric,-4.555,10.24,0.0,top
C11,10n,C_0402_1005Metric,-4.615,9.23,0.0,top
C12,1u,C_0402_1005Metric,-4.605,8.24,0.0,top
C13,100n,C_0402_1005Metric,-7.655,24.14,90.0,top
C14,10u,C_1206_3216Metric,9.58,11.645,180.0,top
C15,10u,C_1206_3216Metric,14.365,8.9175,90.0,top
C16,10u,C_1206_3216Metric,6.435,7.455,0.0,top
C17,10u,C_1206_3216Metric,2.042813,9.373687,-90.0,top
C18,10u,C_1206_3216Metric,8.03,15.29,90.0,top
C19,10u,C_1206_3216Metric,1.45,15.29,90.0,top
C20,27p,C_0402_1005Metric,-18.83,17.06,180.0,top
C21,27p,C_0402_1005Metric,-18.83,11.84,0.0,top
C22,100n,C_0402_1005Metric,-16.58,-1.4,90.0,top
C23,100n,C_0402_1005Metric,21.52,-0.53,-90.0,top
C24,100n,C_0402_1005Metric,2.45,-0.47,-90.0,top
C25,100n,C_0402_1005Metric,-15.05,-5.8,270.0,bottom
C26,100n,C_0402_1005Metric,3.96,-5.79,270.0,bottom
C27,100n,C_0402_1005Metric,23.02,-5.83,270.0,bottom
C28,100n,C_0402_1005Metric,3.36,19.4,90.0,bottom
C29,100n,C_0402_1005Metric,18.56,22.27,270.0,bottom
C30,100n,C_0402_1005Metric,26.045,-15.225,270.0,bottom
C31,100n,C_0402_1005Metric,10.37,-23.2,180.0,bottom
C32,100n,C_0402_1005Metric,-5.49,-23.17,0.0,bottom
C33,100n,C_0402_1005Metric,-18.0,-14.95,270.0,bottom
C34,100n,C_0402_1005Metric,-15.85,23.97,0.0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-19.05,-7.0,0.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.0,-7.0,0.0,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,19.05,-7.0,0.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.43,15.61,0.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14.61,20.98,0.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.025,-16.505,0.0,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,7.5,-26.5,0.0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-7.5,-26.5,0.0,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-22.03,-16.1,0.0,bottom
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-17.27,20.67,0.0,bottom
F1,nSMD050-24V,Fuse_1206_3216Metric,7.42,22.52,0.0,top
P1,USB-TYPE-C-016,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,0.0,32.12,180.0,top
Q1,BSS138,SOT-23,-4.2925,18.88,180.0,bottom
R1,5.1k,C_0402_1005Metric,3.6025,23.0,-90.0,top
R2,5.1k,C_0402_1005Metric,-1.68,22.86,-90.0,top
R3,27R,C_0402_1005Metric,-2.535,12.18,180.0,top
R4,27R,C_0402_1005Metric,-2.545,11.25,180.0,top
R5,10k,C_0402_1005Metric,-18.35,23.46,-90.0,top
R6,1k,C_0402_1005Metric,-15.3,16.31,180.0,bottom
R7,1k,C_0402_1005Metric,-19.34,22.3,90.0,top
R8,47,R_0402_1005Metric,-15.76,13.84,180.0,top
R9,10k,R_0402_1005Metric,-6.9325,18.59,270.0,bottom
R10,10k,R_0402_1005Metric,-1.805,19.405,90.0,bottom
SW1,TS-1187A-B-A-B,TS-1187A,-10.43,22.9,0.0,bottom
SW2,TS-1187A-B-A-B,TS-1187A,-16.57,11.555,180.0,bottom
SW3,BUTT1,PTS647_4.5x4.5mm,-12.0,-19.0,0.0,bottom
SW4,BUTT3,PTS647_4.5x4.5mm,12.0,-19.0,0.0,bottom
SW5,BUTT2,PTS647_4.5x4.5mm,0.0,-19.0,0.0,bottom
U1,PRTR5V0U2X,SOT-143B,1.16,22.48,180.0,top
U2,ME6208A44M3G,SOT-23,11.07,8.4175,90.0,top
U3,RP2040,RP2040-QFN-56,-9.682662,13.022,-90.0,top
U4,ME6212C25M5G,SOT-23-5,5.385,10.785,90.0,top
U5,W25Q16JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-12.835,21.73,0.0,top
U6,ME6212C33M5G,SOT-23-5,4.725,14.69,180.0,top
U7,SLSS49E,SOT-23,-19.05,-0.0,180.0,top
U8,SLSS49E,SOT-23,0.0,-0.0,180.0,top
U9,SLSS49E,SOT-23,19.05,-0.0,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-18.488093,14.45,-90.0,top
