Comment,Designator,Footprint,LCSC
100n,"C2,C3,C4,C5,C6",C_0402_1005Metric,C1525
47,R8,R_0402_1005Metric,C25118
10k,"R10,R9",R_0402_1005Metric,C25744
1u,C12,C_0402_1005Metric,C52923
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
10n,C11,C_0402_1005Metric,
100n,C8,C_0402_1005Metric,
PRTR5V0U2X,U1,SOT-143B,
10u,C17,C_1206_3216Metric,
100n,C7,C_0402_1005Metric,
1u,C10,C_0402_1005Metric,
10k,R5,C_0402_1005Metric,
100n,C1,C_0402_1005Metric,
W25Q16JVSS,U5,SOIC-8_5.23x5.23mm_P1.27mm,
10u,C16,C_1206_3216Metric,
10u,C15,C_1206_3216Metric,
BSS138,Q1,SOT-23,
5.1k,R1,C_0402_1005Metric,
RP2040,U3,RP2040-QFN-56,
ME6208A44M3G,U2,SOT-23,
5.1k,R2,C_0402_1005Metric,
10u,C14,C_1206_3216Metric,
10u,C18,C_1206_3216Metric,
1u,C9,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
27p,C20,C_0402_1005Metric,
27R,R3,C_0402_1005Metric,
10u,C19,C_1206_3216Metric,
USB-TYPE-C-016,P1,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,
nSMD050-24V,F1,Fuse_1206_3216Metric,
100n,C26,C_0402_1005Metric,
100n,C29,C_0402_1005Metric,
100n,C25,C_0402_1005Metric,
100n,C27,C_0402_1005Metric,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
27p,C21,C_0402_1005Metric,
100n,C22,C_0402_1005Metric,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C23,C_0402_1005Metric,
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
BUTT1,SW3,TS-1109S_4.5x4.5mm,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C28,C_0402_1005Metric,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
100n,C24,C_0402_1005Metric,
SLSS49E,U9,SOT-23,
SLSS49E,U8,SOT-23,
SLSS49E,U7,SOT-23,
Conn_01x04_Socket,J1,PinSocket_1x04_P2.54mm_Vertical,
BUTT3,SW5,TS-1109S_4.5x4.5mm,
27R,R4,C_0402_1005Metric,
1k,R6,C_0402_1005Metric,
1k,R7,C_0402_1005Metric,
ME6212C33M5G,U6,SOT-23-5,
ME6212C25M5G,U4,SOT-23-5,
BUTT2,SW4,TS-1109S_4.5x4.5mm,
WS2812B,D10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
TS-1187A-B-A-B,SW1,TS-1187A,
100n,C33,C_0402_1005Metric,
100n,C34,C_0402_1005Metric,
100n,C32,C_0402_1005Metric,
TS-1187A-B-A-B,SW2,TS-1187A,
100n,C30,C_0402_1005Metric,
100n,C31,C_0402_1005Metric,
