Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,-2.534838,15.0105,90.0,top
C2,100n,C_0402_1005Metric,-15.88,11.77,180.0,top
C3,100n,C_0402_1005Metric,-10.1,8.4,-90.0,top
C4,100n,C_0402_1005Metric,-14.8,13.2705,180.0,top
C5,100n,C_0402_1005Metric,-2.524838,13.5705,0.0,top
C6,100n,C_0402_1005Metric,-8.87,18.14,0.0,top
C7,100n,C_0402_1005Metric,-6.48,18.16,0.0,top
C8,100n,C_0402_1005Metric,-5.78,8.42,-90.0,top
C9,1u,C_1206_3216Metric,10.4825,17.97125,90.0,top
C10,1u,C_1206_3216Metric,3.9025,17.97125,90.0,top
C11,100n,C_0402_1005Metric,-7.02,24.03,90.0,top
C12,1u,C_0402_1005Metric,-1.934838,10.3005,-90.0,top
C13,1u,C_0402_1005Metric,-4.02,10.57,0.0,top
C14,10n,C_0402_1005Metric,-4.04,9.62,0.0,top
C15,1u,C_0402_1005Metric,-4.03,8.25,0.0,top
C16,27p,C_0402_1005Metric,-17.7,17.39,180.0,top
C17,27p,C_0402_1005Metric,-17.9,12.2,0.0,top
C18,100n,C_0402_1005Metric,-16.1,1.1,180.0,top
C19,100n,C_0402_1005Metric,21.8,1.0,180.0,top
C20,100n,C_0402_1005Metric,2.8,0.9,180.0,top
C21,100n,C_0402_1005Metric,-17.5,2.4,180.0,top
C22,100n,C_0402_1005Metric,-4.8,1.8,0.0,top
C23,100n,C_0402_1005Metric,14.35,2.1,0.0,top
C24,100n,C_0402_1005Metric,3.37,20.72,90.0,bottom
C25,100n,C_0402_1005Metric,18.7,20.84,270.0,bottom
C26,100n,C_0402_1005Metric,28.14,12.06,90.0,bottom
C27,100n,C_0402_1005Metric,29.14,-4.91,0.0,bottom
C28,100n,C_0402_1005Metric,25.55,-11.4,270.0,bottom
C29,100n,C_0402_1005Metric,-17.5,-11.18,270.0,bottom
C30,100n,C_0402_1005Metric,4.0,-10.8,270.0,bottom
C31,100n,C_0402_1005Metric,-4.95,-24.7,270.0,bottom
C32,100n,C_0402_1005Metric,13.05,-23.9,90.0,bottom
C33,100n,C_0402_1005Metric,-27.95,-4.86,180.0,bottom
C34,100n,C_0402_1005Metric,-15.2,24.03,0.0,bottom
C35,100n,C_0402_1005Metric,-27.17,12.07,90.0,bottom
C36,100n,C_0402_1005Metric,-16.5,6.5,90.0,top
C37,100n,C_0402_1005Metric,2.05,6.54,90.0,top
C38,100n,C_0402_1005Metric,21.5,6.5,90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.37,16.88,0.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14.75,19.55,0.0,bottom
D3,WS2812-2020,LED_WS2812-2020,27.5,9.5,270.0,bottom
D4,WS2812-2020,LED_WS2812-2020,29.0,-7.0,270.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,21.5,-12.5,0.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,9.0,-26.0,0.0,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.0,-12.0,0.0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-9.0,-26.0,0.0,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-21.5,-12.5,0.0,bottom
D10,WS2812-2020,LED_WS2812-2020,-29.0,-7.0,270.0,bottom
D11,WS2812-2020,LED_WS2812-2020,-27.5,9.5,270.0,bottom
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-16.65,20.7,0.0,bottom
D13,WS2812-2020,LED_WS2812-2020,-19.05,5.05,270.0,bottom
D14,WS2812-2020,LED_WS2812-2020,0.0,5.05,270.0,bottom
D15,WS2812-2020,LED_WS2812-2020,19.05,5.05,270.0,bottom
F1,nSMD050-24V,Fuse_1206_3216Metric,7.22,21.45,0.0,top
P1,USB-TYPE-C-016,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,0.0,31.45,180.0,top
Q1,BSS138,SOT-23,-3.3125,21.44,180.0,bottom
R1,10k,R_0402_1005Metric,-17.98,23.39,-90.0,top
R2,1k,C_0402_1005Metric,-17.97,21.48,90.0,top
R3,27R,C_0402_1005Metric,-1.954838,12.6305,180.0,top
R4,27R,C_0402_1005Metric,-1.964838,11.7005,180.0,top
R5,5.1k,C_0402_1005Metric,3.6025,22.6,-90.0,top
R6,5.1k,C_0402_1005Metric,-1.68,22.86,-90.0,top
R7,47,R_0402_1005Metric,-14.9,14.27,180.0,top
R8,1k,C_0402_1005Metric,-14.27,16.18,180.0,bottom
R9,5.1k,C_0402_1005Metric,-19.5,2.4,0.0,top
R10,5.1k,C_0402_1005Metric,-2.72,1.7,180.0,top
R11,5.1k,C_0402_1005Metric,16.3,1.7,180.0,top
R12,10k,R_0402_1005Metric,-5.74,21.02,270.0,bottom
R13,10k,R_0402_1005Metric,-0.86,21.02,90.0,bottom
SW1,KAN0644-0551B1-A,KAN0644,-14.0,-19.0,0.0,bottom
SW2,KAN0644-0551B1-A,KAN0644,0.0,-19.0,0.0,bottom
SW3,KAN0644-0551B1-A,KAN0644,14.0,-19.0,0.0,bottom
SW4,TS-1187A-B-A-B,TS-1187A,-9.35,21.125,0.0,bottom
SW5,TS-1187A-B-A-B,TS-1187A,-15.0,12.9,180.0,bottom
U1,ME6212C33M5G,SOT-23-5,7.1775,17.37125,180.0,top
U2,W25Q16JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-12.254838,22.1805,0.0,top
U3,PRTR5V0U2X,SOT-143B,1.16,21.555,180.0,top
U4,RP2040,RP2040-QFN-56,-9.1025,13.4725,-90.0,top
U5,DRV5056A3QDBZR,SOT-23,-19.05,-0.0,-90.0,top
U6,DRV5056A3QDBZR,SOT-23,0.0,-0.0,-90.0,top
U7,DRV5056A3QDBZR,SOT-23,19.05,-0.0,-90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-17.6,14.8,-90.0,top
