Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0603_1608Metric,-14.35,20.4,180.0,top
C2,100n,C_0402_1005Metric,-16.29,17.9,180.0,top
C3,100n,C_0402_1005Metric,-12.195,21.63,0.0,top
C4,100n,C_0402_1005Metric,-3.89,8.111041,-90.0,top
C5,100n,C_0402_1005Metric,-12.06,7.04,180.0,top
C6,100n,C_0402_1005Metric,-2.37,19.02,0.0,top
C7,10u,C_1206_3216Metric,8.785,11.7775,180.0,top
C8,10u,C_1206_3216Metric,13.57,9.05,90.0,top
C9,10u,C_1206_3216Metric,5.64,7.5875,0.0,top
C10,10u,C_1206_3216Metric,1.247813,9.506187,-90.0,top
C11,100n,C_0402_1005Metric,-12.29,13.55,270.0,bottom
C12,1u,C_0402_1005Metric,-17.05,7.175,180.0,top
C13,1u,C_0402_1005Metric,-17.15,12.1,90.0,top
C14,10n,C_0402_1005Metric,-16.07,12.09,90.0,top
C15,100n,C_0402_1005Metric,-16.82,-1.38,90.0,top
C16,100n,C_0402_1005Metric,21.97,-0.53,-90.0,top
C17,100n,C_0402_1005Metric,2.45,-0.47,-90.0,top
C18,12p,C_0402_1005Metric,-19.677272,18.201742,0.0,top
C19,12p,C_0402_1005Metric,-19.672272,12.721742,180.0,top
C20,4u7,C_0805_2012Metric,-5.39,5.71,-90.0,top
C21,100n,C_0402_1005Metric,-15.45,-5.8,270.0,bottom
C22,100n,C_0402_1005Metric,4.03,-5.77,270.0,bottom
C23,100n,C_0402_1005Metric,23.52,-5.83,270.0,bottom
C24,100n,C_0402_1005Metric,3.36,19.4,90.0,bottom
C25,100n,C_0402_1005Metric,18.56,22.27,270.0,bottom
C26,100n,C_0402_1005Metric,26.045,-15.225,270.0,bottom
C27,100n,C_0402_1005Metric,10.37,-23.2,180.0,bottom
C28,100n,C_0402_1005Metric,-5.49,-23.17,0.0,bottom
C29,100n,C_0402_1005Metric,-18.0,-14.95,270.0,bottom
C30,100n,C_0402_1005Metric,-15.88,23.91,0.0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-19.5,-7.0,0.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.0,-7.0,0.0,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,19.5,-7.0,0.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.43,15.61,0.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14.61,20.98,0.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.025,-16.505,0.0,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,7.5,-26.5,0.0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-7.5,-26.5,0.0,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-22.03,-16.1,0.0,bottom
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-17.27,20.67,0.0,bottom
F1,nSMD050-24V,Fuse_1206_3216Metric,7.42,22.52,0.0,top
FB1,GZ2012D601TF,C_0805_2012Metric,-16.63,9.41,90.0,top
J1,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,-12.73,26.325,90.0,top
P1,USB-TYPE-C-016,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,0.0,32.12,180.0,top
Q1,BSS138,SOT-23,9.2375,17.175,180.0,top
R1,5.1k,C_0402_1005Metric,3.6025,23.0,-90.0,top
R2,5.1k,C_0402_1005Metric,-1.68,22.86,-90.0,top
R3,47,R_0402_1005Metric,-16.53,15.23,180.0,top
R4,10k,R_0402_1005Metric,-10.475,22.375,0.0,bottom
R5,10k,R_0402_1005Metric,-1.25,10.64,90.0,top
R6,10k,R_0402_1005Metric,11.8775,16.885,-90.0,top
R7,10k,R_0402_1005Metric,6.75,17.7,90.0,top
SW1,TS-1187A-B-A-B,TS-1187A,-8.85,18.98,0.0,bottom
SW2,TS-1187A-B-A-B,TS-1187A,-8.34,12.86,0.0,bottom
SW3,BUTT1,PTS647_4.5x4.5mm,-12.0,-19.0,0.0,bottom
SW4,BUTT3,PTS647_4.5x4.5mm,12.0,-19.0,0.0,bottom
SW5,BUTT2,PTS647_4.5x4.5mm,0.0,-19.0,0.0,bottom
U1,ME6208A44M3G,SOT-23,10.275,8.55,90.0,top
U2,ME6212C25M5G,SOT-23-5,4.6,10.97,90.0,top
U3,PRTR5V0U2X,SOT-143B,1.16,22.48,180.0,top
U4,SLSS49E,SOT-23,0.0,-0.0,180.0,top
U5,SLSS49E,SOT-23,19.5,-0.0,180.0,top
U6,SLSS49E,SOT-23,-19.5,-0.0,180.0,top
U7,STM32F401RCTx,LQFP-64_10x10mm_P0.5mm,-8.6,14.35,0.0,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-19.36,15.58,-90.0,top
