Comment,Designator,Footprint,LCSC
10u,C2,C_0805_2012Metric,
1u,C12,C_0402_1005Metric,
1u,C11,C_0402_1005Metric,
100n,C8,C_0402_1005Metric,
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,
W25Q32JVSS,U4,SOIC-8_5.23x5.23mm_P1.27mm,
27p,C17,C_0402_1005Metric,
100n,C5,C_0402_1005Metric,
100n,C7,C_0402_1005Metric,
100n,C10,C_0402_1005Metric,
27R,R5,C_0402_1005Metric,
100n,C4,C_0402_1005Metric,
10u,C1,C_0805_2012Metric,
100n,C6,C_0402_1005Metric,
RP2040,U5,RP2040-QFN-56,
27p,C16,C_0402_1005Metric,
27R,R6,C_0402_1005Metric,
100n,C3,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
1k,R8,C_0402_1005Metric,
ABM7-12.000MHZ-D2Y-T,Y1,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,
1k,R9,C_0402_1005Metric,
SN74LV1T34DBV,Q1,SOT-23-5,
1R,R4,C_0603_1608Metric,
SS39ET,S3,SOT-23-3,
200R,R1,C_0603_1608Metric,
PRTR5V0U2X,U3,SOT-143B,
SS39ET,S2,SOT-23-3,
LM4040DBZ-3,U2,SOT-23,
5.1k,R2,C_0402_1005Metric,
1u,C14,C_0402_1005Metric,
SS39ET,S1,SOT-23-3,
1u,C18,C_0402_1005Metric,
100n,C9,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
1u,C20,C_0402_1005Metric,
5.1k,R3,C_0402_1005Metric,
1u,C19,C_0402_1005Metric,
10k,R7,C_0402_1005Metric,
USB-TYPE-C-016,P1,USB_C_Receptacle_DEALON_16P_MidMnt,
nSMD025-24V,F1,Fuse_1206_3216Metric,
100n,C26,C_0402_1005Metric,
SKRKAHE020,SW1,SW_Push_SPST_NO_Alps_SKRK,
100n,C29,C_0402_1005Metric,
100n,C25,C_0402_1005Metric,
100n,C27,C_0402_1005Metric,
PTS647 SN70 SMTR2 LFS,SW2,PTS647_4.5x4.5mm,
WS2812B-2020,D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
100n,C21,C_0402_1005Metric,
100n,C22,C_0402_1005Metric,
WS2812B-2020,D10,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D5,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
100n,C23,C_0402_1005Metric,
WS2812B-2020,D7,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D3,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D9,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
PTS647 SN70 SMTR2 LFS,SW3,PTS647_4.5x4.5mm,
WS2812B-2020,D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D6,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
WS2812B-2020,D8,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
100n,C28,C_0402_1005Metric,
WS2812B-2020,D4,LED_WS2812B-2020_PLCC4_2.0x2.0mm,
100n,C30,C_0402_1005Metric,
100n,C24,C_0402_1005Metric,
