Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,15.45,23.94,180.0,top
C2,10u,C_0805_2012Metric,8.97,19.15,180.0,top
C3,100n,C_0402_1005Metric,0.01,17.74,90.0,top
C4,100n,C_0402_1005Metric,-11.985,14.1725,180.0,top
C5,100n,C_0402_1005Metric,0.325,15.715,0.0,top
C6,100n,C_0402_1005Metric,-7.8275,20.4325,180.0,top
C7,100n,C_0402_1005Metric,-4.4775,20.4025,180.0,top
C8,100n,C_0402_1005Metric,-7.6,10.635,180.0,top
C9,100n,C_0402_1005Metric,-2.775,10.5725,-90.0,top
C10,100n,C_0402_1005Metric,-12.225,15.279,180.0,top
C11,1u,C_0402_1005Metric,0.44,12.6825,0.0,top
C12,1u,C_0402_1005Metric,0.44,11.6825,0.0,top
C13,100n,C_0402_1005Metric,-1.745,10.5725,-90.0,top
C14,1u,C_0402_1005Metric,0.04,10.05,0.0,top
C15,100n,C_0402_1005Metric,-5.455,29.9075,0.0,top
C16,27p,C_0402_1005Metric,-14.792519,19.209,90.0,top
C17,27p,C_0402_1005Metric,-14.792519,16.239,-90.0,top
C18,1u,C_0402_1005Metric,-16.81,-0.5,-90.0,top
C19,1u,C_0402_1005Metric,2.7,-0.44,-90.0,top
C20,1u,C_0402_1005Metric,16.84,1.476,-90.0,top
C21,100n,C_0402_1005Metric,-19.557,24.502,90.0,bottom
C22,100n,C_0402_1005Metric,-30.968,-0.076,90.0,bottom
C23,100n,C_0402_1005Metric,-17.196,-25.799,180.0,bottom
C24,100n,C_0402_1005Metric,-3.13,-13.93,0.0,bottom
C25,100n,C_0402_1005Metric,17.856,-25.73,90.0,bottom
C26,100n,C_0402_1005Metric,31.96,-2.68,270.0,bottom
C27,100n,C_0402_1005Metric,22.428,22.022,0.0,bottom
C28,100n,C_0402_1005Metric,-22.022,-4.902,0.0,bottom
C29,100n,C_0402_1005Metric,-2.52,-4.9,0.0,bottom
C30,100n,C_0402_1005Metric,16.93,-4.98,0.0,bottom
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-21.667,24.632,180.0,bottom
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-33.198,-0.076,180.0,bottom
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-20.0,-25.0,180.0,bottom
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.076,-14.554,0.0,bottom
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,20.0,-25.0,270.0,bottom
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,31.4,0.1,180.0,bottom
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,22.073,24.012,180.0,bottom
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-19.5,-4.85,0.0,bottom
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.0,-4.85,0.0,bottom
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,19.5,-4.85,0.0,bottom
F1,nSMD025-24V,Fuse_1206_3216Metric,8.43,25.84,0.0,top
P1,USB-TYPE-C-016,USB_C_Receptacle_DEALON_16P_MidMnt,0.0,37.35,180.0,top
Q1,SN74LV1T34DBV,SOT-23-5,-18.3575,25.11,180.0,top
R1,200R,C_0603_1608Metric,11.045,9.32,180.0,top
R2,5.1k,C_0402_1005Metric,1.854,29.416,-90.0,top
R3,5.1k,C_0402_1005Metric,-2.43,29.4,-90.0,top
R4,1R,C_0603_1608Metric,3.835,9.22,180.0,top
R5,27R,C_0402_1005Metric,0.325876,14.6975,180.0,top
R6,27R,C_0402_1005Metric,0.325876,13.6975,180.0,top
R7,10k,C_0402_1005Metric,-13.33,29.94,0.0,top
R8,1k,C_0402_1005Metric,-12.907519,17.024,180.0,top
R9,1k,C_0402_1005Metric,-11.39,29.93,180.0,top
S1,SS39ET,SOT-23-3,-19.5,-0.0,180.0,top
S2,SS39ET,SOT-23-3,0.0,-0.0,180.0,top
S3,SS39ET,SOT-23-3,19.5,-0.0,0.0,top
SW1,SKRKAHE020,SW_Push_SPST_NO_Alps_SKRK,-9.47,28.13,90.0,bottom
SW2,PTS647 SN70 SMTR2 LFS,PTS647_4.5x4.5mm,-10.0,-20.0,0.0,bottom
SW3,PTS647 SN70 SMTR2 LFS,PTS647_4.5x4.5mm,9.94,-20.0,0.0,bottom
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,15.13,19.18,180.0,top
U2,LM4040DBZ-3,SOT-23,7.3125,10.21,180.0,top
U3,PRTR5V0U2X,SOT-143B,4.29,22.335,180.0,top
U4,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-9.555,26.5075,0.0,top
U5,RP2040,RP2040-QFN-56,-6.085,15.685,-90.0,top
Y1,ABM7-12.000MHZ-D2Y-T,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,-17.816838,17.9625,-90.0,top
