Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0603_1608Metric,-14.35,20.4,180.0,top
C2,100n,C_0402_1005Metric,-16.29,17.9,180.0,top
C3,100n,C_0402_1005Metric,-12.195,21.63,0.0,top
C4,100n,C_0402_1005Metric,-3.89,8.111041,-90.0,top
C5,100n,C_0402_1005Metric,-11.645,7.0,180.0,top
C6,100n,C_0402_1005Metric,-2.37,19.02,0.0,top
C7,1u,C_0402_1005Metric,-17.15,12.1,90.0,top
C8,10n,C_0402_1005Metric,-16.07,12.09,90.0,top
C9,10u,C_1206_3216Metric,14.49,24.09,0.0,top
C10,10u,C_1206_3216Metric,9.98,14.49,180.0,top
C11,10u,C_1206_3216Metric,6.8725,-12.4,-90.0,top
C12,10u,C_1206_3216Metric,9.8325,-7.83,180.0,top
C13,100n,C_0402_1005Metric,-16.33,14.43,180.0,top
C14,12p,C_0402_1005Metric,-19.77,18.855,0.0,top
C15,12p,C_0402_1005Metric,-19.77,13.245,180.0,top
C16,4.7u,C_0805_2012Metric,-5.84,5.811041,-90.0,top
C17,100n,C_0402_1005Metric,-22.12,1.41,-90.0,top
C18,100n,C_0402_1005Metric,20.88,-2.34,180.0,top
C19,100n,C_0402_1005Metric,2.51,-0.78,90.0,top
C20,100n,C_0402_1005Metric,-1.23,13.69,90.0,bottom
C21,100n,C_0402_1005Metric,10.48,26.61,0.0,bottom
C22,100n,C_0402_1005Metric,17.1,11.16,90.0,bottom
C23,100n,C_0402_1005Metric,23.25,-13.25,180.0,bottom
C24,100n,C_0402_1005Metric,9.747001,-26.762999,180.0,bottom
C25,100n,C_0402_1005Metric,2.342,-18.11,180.0,bottom
C26,100n,C_0402_1005Metric,-5.11,-27.31,180.0,bottom
C27,100n,C_0402_1005Metric,-23.46,-13.62,90.0,bottom
C28,100n,C_0402_1005Metric,-17.81,22.94,90.0,bottom
C29,100n,C_0402_1005Metric,-19.19,10.14,270.0,bottom
C30,100n,C_0402_1005Metric,-22.08,-4.9,0.0,bottom
C31,100n,C_0402_1005Metric,-2.51,-5.06,0.0,bottom
C32,100n,C_0402_1005Metric,16.88,-4.87,0.0,bottom
D1,1N4148WS,D_SOD-323,6.24,18.875,90.0,top
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.575,14.15,270.0,bottom
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,10.48,24.38,90.0,bottom
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,15.01,11.41,180.0,bottom
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,20.71,-12.77,180.0,bottom
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,7.225001,-26.814999,180.0,bottom
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-0.19,-17.71,180.0,bottom
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-7.755,-26.79,180.0,bottom
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-21.69,-12.99,270.0,bottom
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-19.88,21.64,180.0,bottom
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-21.06,9.305,90.0,bottom
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-19.5,-4.85,0.0,bottom
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.0,-4.85,0.0,bottom
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,19.5,-4.85,0.0,bottom
F1,nSMD050-24V,Fuse_1206_3216Metric,8.85,24.77,0.0,top
FB1,GZ2012D601TF,C_0805_2012Metric,-16.63,9.41,90.0,top
J1,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,-10.94,23.885,90.0,top
J2,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,-11.88,27.5,90.0,top
P1,USB-TYPE-C-016,USB-TYPE-C-016_Receptacle_DEALON_16P_MidMnt,0.0,32.12,180.0,top
Q1,SN74LV1T34DBV,SOT-23-5,5.1075,15.415,0.0,top
R1,5.1k,C_0402_1005Metric,3.6,23.585,-90.0,top
R2,5.1k,C_0402_1005Metric,-1.758,24.617,-90.0,top
R3,10k,R_0402_1005Metric,-8.28,16.85,90.0,bottom
R4,10k,R_0402_1005Metric,-1.34,9.96,90.0,top
R5,47,R_0402_1005Metric,-16.66,15.49,180.0,top
SW1,SK-3296S-01-L3,SW_SPDT_PCM12,15.38,-10.52,90.0,top
SW2,MS-22C01-G010,DPDT-MS-22C01,-9.96,-7.55,0.0,top
SW3,SKRKAHE020,SW_Push_SPST_NO_Alps_SKRK,-6.07,16.43,270.0,bottom
SW4,MS-22C01-G010,DPDT-MS-22C01,4.3,8.37,180.0,top
SW5,SKRKAHE020,SW_Push_SPST_NO_Alps_SKRK,-10.52,16.45,90.0,bottom
SW6,BUTT1,SW_Push_1P1T_NO_6x6mm_H9.5mm,-12.0,-20.0,0.0,bottom
SW7,BUTT3,SW_Push_1P1T_NO_6x6mm_H9.5mm,12.0,-20.0,0.0,bottom
SW8,BUTT2,SW_Push_1P1T_NO_6x6mm_H9.5mm,0.0,-23.0,0.0,bottom
U1,AMS1117-2.5,SOT-223-3_TabPin2,14.79,19.24,180.0,top
U2,ME6208A44M3G,SOT-23,10.1,-10.91,180.0,top
U3,PRTR5V0U2X,SOT-143B,1.16,22.48,180.0,top
U4,MCP6001-OT,SOT-23-5,-7.825,-1.7375,-90.0,top
U5,STM32F401RCTx,LQFP-64_10x10mm_P0.5mm,-8.6,14.35,0.0,top
U6,MCP6001-OT,SOT-23-5,10.36,5.97,180.0,top
U7,SLSS49E,SOT-23,-19.5,-0.0,0.0,top
U8,SLSS49E,SOT-23,0.0,-0.0,180.0,top
U9,SLSS49E,SOT-23,19.5,-0.0,180.0,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-19.76,16.105,-90.0,top
