Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,15.45,23.94,180.0,top
C2,10u,C_0805_2012Metric,8.27,19.21,180.0,top
C3,100n,C_0402_1005Metric,0.315,16.795,0.0,top
C4,100n,C_0402_1005Metric,-11.985,14.1725,180.0,top
C5,100n,C_0402_1005Metric,0.325,15.715,0.0,top
C6,100n,C_0402_1005Metric,-7.8275,20.4325,180.0,top
C7,100n,C_0402_1005Metric,-4.4775,20.4025,180.0,top
C8,100n,C_0402_1005Metric,-7.6,10.635,180.0,top
C9,100n,C_0402_1005Metric,-2.775,10.5725,-90.0,top
C10,100n,C_0402_1005Metric,-12.225,15.279,180.0,top
C11,1u,C_0402_1005Metric,0.44,12.6825,0.0,top
C12,1u,C_0402_1005Metric,0.44,11.6825,0.0,top
C13,100n,C_0402_1005Metric,-1.745,10.5725,-90.0,top
C14,1u,C_0402_1005Metric,0.04,10.05,0.0,top
C15,100n,C_0402_1005Metric,-5.455,29.9075,0.0,top
C16,27p,C_0402_1005Metric,-14.792519,19.209,90.0,top
C17,27p,C_0402_1005Metric,-14.792519,16.239,-90.0,top
C18,1u,C_0402_1005Metric,-22.04,-0.33,270.0,bottom
C19,1u,C_0402_1005Metric,-3.07,-1.02,180.0,bottom
C20,1u,C_0402_1005Metric,22.29,-1.37,0.0,bottom
C21,100n,C_0402_1005Metric,-20.89,25.13,-90.0,top
C22,100n,C_0402_1005Metric,-34.23,-0.0,90.0,top
C23,100n,C_0402_1005Metric,-20.5525,-26.485,180.0,top
C24,100n,C_0402_1005Metric,-0.86,-16.25,-90.0,top
C25,100n,C_0402_1005Metric,15.62,-26.27,90.0,top
C26,100n,C_0402_1005Metric,31.96,-2.68,-90.0,top
C27,100n,C_0402_1005Metric,25.11,25.06,-90.0,top
C28,100n,C_0402_1005Metric,-22.04,-4.95,180.0,top
C29,100n,C_0402_1005Metric,-2.52,-4.9,180.0,top
C30,100n,C_0402_1005Metric,16.98,-4.95,180.0,top
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-23.0,25.0,0.0,top
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-32.0,-0.0,180.0,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-18.0,-26.0,180.0,top
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.0,-14.0,180.0,top
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,17.83,-26.11,180.0,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,31.4,0.1,-90.0,top
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,23.0,25.0,0.0,top
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-19.5,-4.85,180.0,top
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.0,-4.85,180.0,top
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,19.5,-4.85,180.0,top
F1,nSMD025-24V,Fuse_1206_3216Metric,8.43,25.84,0.0,top
P1,TYPEC-322-ACP16,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,0.0,36.0,180.0,top
Q1,SN74LV1T34DBV,SOT-23-5,-18.5,28.06,180.0,top
R1,200R,C_0603_1608Metric,14.6,11.02,180.0,top
R2,5.1k,C_0402_1005Metric,1.949338,30.08,-90.0,top
R3,5.1k,C_0402_1005Metric,-2.43,29.4,-90.0,top
R4,1R,C_0603_1608Metric,7.39,10.92,180.0,top
R5,27R,C_0402_1005Metric,0.325876,14.6975,180.0,top
R6,27R,C_0402_1005Metric,0.325876,13.6975,180.0,top
R7,10k,C_0402_1005Metric,-12.985,30.5175,-90.0,top
R8,1k,C_0402_1005Metric,-12.907519,17.024,180.0,top
S1,SS39ET,SOT-23-3,-19.5,-0.0,180.0,bottom
S2,SS39ET,SOT-23-3,0.0,-0.0,180.0,bottom
S3,SS39ET,SOT-23-3,19.5,-0.0,90.0,bottom
SW1,SKRKAGE020,SW_Push_SPST_NO_Alps_SKRK,-9.034338,34.0775,180.0,top
SW2,SW_Push,PTS647_4.5x4.5mm,-10.0,-20.0,0.0,top
SW3,SW_Push,PTS647_4.5x4.5mm,10.0,-20.0,0.0,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,15.13,19.18,180.0,top
U2,LM4040DBZ-3,SOT-23,10.8675,11.91,180.0,top
U3,PRTR5V0U2X,SOT-143B,4.29,22.335,180.0,top
U4,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-9.555,26.5075,0.0,top
U5,RP2040,RP2040-QFN-56,-6.085,15.685,-90.0,top
Y1,ABM7-12.000MHZ-D2Y-T,Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm,-17.816838,17.9625,-90.0,top
