Designator,Mid X,Mid Y,Rotation,Layer
C1,-10.120000,26.690000,90.000000,bottom
C2,-16.300000,17.110000,180.000000,bottom
C3,0.847500,15.142500,180.000000,bottom
C4,13.517500,12.510000,0.000000,bottom
C5,0.837500,14.062500,180.000000,bottom
C6,8.990000,18.780000,0.000000,bottom
C7,5.640000,18.750000,0.000000,bottom
C8,8.762500,8.982500,0.000000,bottom
C9,3.970000,8.700000,270,bottom
C10,13.757500,13.616500,0.000000,bottom
C11,0.722500,11.030000,180.000000,bottom
C12,0.722500,10.030000,180.000000,bottom
C13,2.910000,8.690000,270,bottom
C14,1.820000,7.790000,270,bottom
C15,7.090000,28.110000,90.000000,bottom
C16,8.510000,28.130000,90.000000,bottom
C17,16.325019,17.546500,90.000000,bottom
C18,16.325019,14.576500,270,bottom
C19,16.930000,-1.530000,90.000000,bottom
C20,-2.760000,1.420000,0.000000,bottom
C21,-20.520000,3.330000,270,bottom
C22,23.845000,-13.370000,0.000000,bottom
C24,2.652501,-24.767499,0.000000,bottom
C26,-18.230000,-13.081250,0.000000,bottom
C28,-16.955000,13.730000,180.000000,bottom
D1,21.100000,-12.810000,0.000000,bottom
D3,0.097501,-24.157499,0.000000,bottom
D5,-20.805000,-12.541250,0.000000,bottom
D7,-14.360000,13.140000,180.000000,bottom
F1,-6.670000,25.760000,180.000000,bottom
H1,29.000000,16.000000,180.000000,bottom
H4,-29.000000,16.000000,180.000000,bottom
H5,0.000000,-33.000000,180.000000,bottom
P1,0.000000,35.990000,0.000000,bottom
Q1,26.600000,8.720000,0.000000,bottom
R1,-8.662500,8.459000,0.000000,bottom
R2,-1.920000,30.080000,270,bottom
R3,1.740000,30.060000,270,bottom
R4,-1.132500,8.119000,0.000000,bottom
R5,0.836624,13.045000,0.000000,bottom
R6,0.836624,12.045000,0.000000,bottom
R7,12.760000,28.200000,270,bottom
R8,14.440019,15.361500,0.000000,bottom
S1,19.500000,0.000000,0.000000,bottom
S2,0.000000,0.000000,270,bottom
S3,-19.500000,0.000000,270,bottom
SW3,17.050000,26.900000,180.000000,bottom
U1,-14.790000,22.720000,270,bottom
U2,-4.972500,9.325000,0.000000,bottom
U3,-2.440000,22.205000,0.000000,bottom
U4,9.330000,24.190000,180.000000,bottom
U5,7.247500,14.032500,270,bottom
Y1,20.441019,16.220500,270,bottom
