Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",-10.120000,26.690000,90.000000,bottom
"C2","10u","C_0805_2012Metric",-16.300000,17.110000,180.000000,bottom
"C3","100n","C_0402_1005Metric",0.847500,15.142500,180.000000,bottom
"C4","100n","C_0402_1005Metric",13.517500,12.510000,0.000000,bottom
"C5","100n","C_0402_1005Metric",0.837500,14.062500,180.000000,bottom
"C6","100n","C_0402_1005Metric",8.990000,18.780000,0.000000,bottom
"C7","100n","C_0402_1005Metric",5.640000,18.750000,0.000000,bottom
"C8","100n","C_0402_1005Metric",8.762500,8.982500,0.000000,bottom
"C9","100n","C_0402_1005Metric",3.970000,8.700000,-90.000000,bottom
"C10","100n","C_0402_1005Metric",13.757500,13.616500,0.000000,bottom
"C11","1u","C_0402_1005Metric",0.722500,11.030000,180.000000,bottom
"C12","1u","C_0402_1005Metric",0.722500,10.030000,180.000000,bottom
"C13","100n","C_0402_1005Metric",2.910000,8.690000,-90.000000,bottom
"C14","1u","C_0402_1005Metric",1.820000,7.790000,-90.000000,bottom
"C15","100n","C_0402_1005Metric",7.090000,28.110000,90.000000,bottom
"C16","1u","C_0402_1005Metric",8.510000,28.130000,90.000000,bottom
"C17","27p","C_0402_1005Metric",16.325019,17.546500,90.000000,bottom
"C18","27p","C_0402_1005Metric",16.325019,14.576500,-90.000000,bottom
"C19","1u","C_0402_1005Metric",16.930000,-1.530000,90.000000,bottom
"C20","1u","C_0402_1005Metric",-2.760000,1.420000,0.000000,bottom
"C21","1u","C_0402_1005Metric",-20.520000,3.330000,-90.000000,bottom
"C22","100n","C_0402_1005Metric",23.845000,-13.370000,0.000000,bottom
"C24","100n","C_0402_1005Metric",2.652501,-24.767499,0.000000,bottom
"C26","100n","C_0402_1005Metric",-18.230000,-13.081250,0.000000,bottom
"C28","100n","C_0402_1005Metric",-16.955000,13.730000,180.000000,bottom
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",21.100000,-12.810000,0.000000,bottom
"D3","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",0.097501,-24.157499,0.000000,bottom
"D5","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-20.805000,-12.541250,0.000000,bottom
"D7","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-14.360000,13.140000,180.000000,bottom
"F1","0ZCJ0025AF2E","Fuse_1206_3216Metric",-6.670000,25.760000,180.000000,bottom
"H1","4881_M3_Threaded_Insert","4881_M3_Threaded_Insert",29.000000,16.000000,180.000000,bottom
"H4","4881_M3_Threaded_Insert","4881_M3_Threaded_Insert",-29.000000,16.000000,180.000000,bottom
"H5","4881_M3_Threaded_Insert","4881_M3_Threaded_Insert",0.000000,-33.000000,180.000000,bottom
"P1","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",0.000000,35.990000,0.000000,bottom
"Q1","SN74LV1T34DBV","SOT-23-5",26.600000,8.720000,0.000000,bottom
"R1","200R","C_0603_1608Metric",-8.662500,8.459000,0.000000,bottom
"R2","5.1k","C_0402_1005Metric",-1.920000,30.080000,-90.000000,bottom
"R3","5.1k","C_0402_1005Metric",1.740000,30.060000,-90.000000,bottom
"R4","1R","C_0603_1608Metric",-1.132500,8.119000,0.000000,bottom
"R5","27R","C_0402_1005Metric",0.836624,13.045000,0.000000,bottom
"R6","27R","C_0402_1005Metric",0.836624,12.045000,0.000000,bottom
"R7","10k","C_0402_1005Metric",12.760000,28.200000,-90.000000,bottom
"R8","1k","C_0402_1005Metric",14.440019,15.361500,0.000000,bottom
"S1","SS39ET","SOT-23-3",19.500000,0.000000,0.000000,bottom
"S2","SS39ET","SOT-23-3",0.000000,0.000000,-90.000000,bottom
"S3","SS39ET","SOT-23-3",-19.500000,0.000000,-90.000000,bottom
"SW3","SKRKAGE020","SW_Push_SPST_NO_Alps_SKRK",17.050000,26.900000,180.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",-14.790000,22.720000,-90.000000,bottom
"U2","LM4040DBZ-3","SOT-23",-4.972500,9.325000,0.000000,bottom
"U3","PRTR5V0U2X","SOT-143B",-2.440000,22.205000,0.000000,bottom
"U4","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",9.330000,24.190000,180.000000,bottom
"U5","RP2040","RP2040-QFN-56",7.247500,14.032500,-90.000000,bottom
"Y1","ABM7-12.000MHZ-D2Y-T","Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm",20.441019,16.220500,-90.000000,bottom
